Timestamp,Employee ID,Date
5/7/2024 8:00:00,EM01
5/7/2024 8:01:00,EM02
5/7/2024 8:02:00,EM03
5/7/2024 8:03:00,EM04
5/7/2024 8:04:00,EM05
5/7/2024 8:05:00,EM06
5/7/2024 8:06:00,EM07
5/7/2024 8:07:00,EM08
5/7/2024 8:08:00,EM09
5/7/2024 8:09:00,EM10
5/7/2024 8:10:00,EM11
5/7/2024 8:11:00,EM12
5/7/2024 8:12:00,EM13
5/7/2024 8:13:00,EM14
5/7/2024 8:14:00,EM15
5/7/2024 8:15:00,EM16
5/7/2024 8:16:00,EM17
5/7/2024 8:17:00,EM18
5/7/2024 8:19:00,EM20
5/7/2024 8:20:00,EM21
5/7/2024 8:21:00,EM22
5/7/2024 8:22:00,EM23
5/7/2024 8:23:00,EM24
5/7/2024 8:25:00,EM26
5/7/2024 8:26:00,EM27
5/7/2024 8:27:00,EM28
5/7/2024 8:28:00,EM29
5/7/2024 8:29:00,EM30
5/7/2024 8:30:00,EM31
5/7/2024 8:31:00,EM32
5/7/2024 8:32:00,EM33
5/7/2024 8:33:00,EM34
5/7/2024 8:34:00,EM35
5/7/2024 8:35:00,EM36
5/7/2024 8:36:00,EM37
5/7/2024 8:37:00,EM38
5/7/2024 8:38:00,EM39
5/7/2024 8:39:00,EM40
5/7/2024 8:40:00,EM41
5/7/2024 8:41:00,EM42
5/7/2024 8:43:00,EM44
5/7/2024 8:44:00,EM45
5/7/2024 8:45:00,EM46
5/7/2024 8:46:00,EM47
5/7/2024 8:47:00,EM48
5/7/2024 8:48:00,EM49
5/7/2024 8:49:00,EM50
